央视频道,#genre#
CCTV1 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225829/index.m3u8
CCTV1 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227014/index.m3u8
CCTV1 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225922/index.m3u8
CCTV1 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226908/index.m3u8
CCTV1 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226995/index.m3u8
CCTV1 720,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225812/index.m3u8
CCTV1 720,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226624/index.m3u8
CCTV2 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225800/index.m3u8
CCTV2 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226795/index.m3u8
CCTV2 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225923/index.m3u8
CCTV2 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226915/index.m3u8
CCTV3 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227256/index.m3u8
CCTV3 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227055/index.m3u8
CCTV4 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225802/index.m3u8
CCTV4 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227225/index.m3u8
CCTV4 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226968/index.m3u8
CCTV5 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227229/index.m3u8
CCTV5 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227170/index.m3u8
CCTV5+ 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225821/index.m3u8
CCTV5+ 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225939/index.m3u8
CCTV5+ 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226919/index.m3u8
CCTV6 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227260/index.m3u8
CCTV6 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227137/index.m3u8
CCTV7 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225805/index.m3u8
CCTV7 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225927/index.m3u8
CCTV7 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226972/index.m3u8
CCTV8 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227266/index.m3u8
CCTV8 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227174/index.m3u8
CCTV9 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225820/index.m3u8
CCTV9 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225929/index.m3u8
CCTV9 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226923/index.m3u8
CCTV9 720,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226715/index.m3u8
CCTV10 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225814/index.m3u8
CCTV10 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225931/index.m3u8
CCTV10 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226976/index.m3u8
CCTV11 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225815/index.m3u8
CCTV11 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227233/index.m3u8
CCTV11 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226927/index.m3u8
CCTV12 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225816/index.m3u8
CCTV12 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225932/index.m3u8
CCTV12 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226931/index.m3u8
CCTV13 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225817/index.m3u8
CCTV13 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227237/index.m3u8
CCTV13 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226985/index.m3u8
CCTV14 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225819/index.m3u8
CCTV14 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225933/index.m3u8
CCTV14 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227086/index.m3u8
CCTV15 3.5M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225818/index.m3u8
CCTV15 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227270/index.m3u8
CCTV15 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226989/index.m3u8
CCTV16 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227148/index.m3u8
CCTV16 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227125/index.m3u8
CCTV17 4M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226990/index.m3u8
CCTV17 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226986/index.m3u8


CGTN频道,#genre#
CGTN 8M1080,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226980/index.m3u8
CGTN 3.5M576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225822/index.m3u8
CGTN纪录 3.5M576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225813/index.m3u8
CGTN俄语 3.5M576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227103/index.m3u8
CGTN法语 3.5M576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227220/index.m3u8
CGTN西语 3.5M576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227238/index.m3u8
CGTN阿语 576,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227224/index.m3u8


香港频道,#genre#
凤凰卫视,http://ax.micaesoft.com/YMitv/YMITV_CN_ifengNEW.m3u8
凤凰中文,http://223.109.210.49/mmst.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226308/index.m3u8
凤凰中文,https://tv.iill.top/jd/fhzw
凤凰中文,http://110.81.206.138:50080/tsfile/live/23020_1.m3u8
凤凰资讯,http://110.81.206.138:50080/tsfile/live/23019_1.m3u8
凤凰资讯,http://223.109.210.49/mmst.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226320/index.m3u8
凤凰资讯,https://tv.iill.top/jd/fhzx



卫视频道,#genre#
